               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.071364,            0.015847,             0.03115,             0.47464,                 0.7,             0.62926,             0.17776,            0.053309,            0.013524,            0.020428,             0.03378,           0.0067797,           0.0067797
                  37,            0.063206,             0.01776,            0.029211,             0.66584,                0.75,             0.75806,             0.21184,            0.042331,             0.01324,             0.01871,            0.031951,           0.0069505,           0.0069505
                  38,             0.06044,            0.017748,            0.028195,             0.69919,                0.85,             0.84465,             0.42979,            0.040002,            0.012885,            0.017376,            0.030121,           0.0071207,           0.0071207
                  39,            0.057802,            0.018012,            0.026765,             0.69919,                0.85,             0.84465,             0.42979,            0.040002,            0.012885,            0.017376,             0.02829,             0.00729,             0.00729
                  40,            0.065487,            0.015106,            0.026389,             0.18481,                 0.7,             0.20069,             0.07988,            0.053391,            0.012236,            0.016628,            0.026458,           0.0074585,           0.0074585
                  41,            0.071588,            0.018125,            0.027231,             0.47487,             0.75377,             0.71256,             0.22207,             0.04768,            0.011982,            0.015448,            0.024626,           0.0076262,           0.0076262
                  42,            0.063567,            0.016222,            0.024898,             0.47487,             0.75377,             0.71256,             0.22207,             0.04768,            0.011982,            0.015448,            0.022793,           0.0077931,           0.0077931
                  43,            0.067737,            0.017971,            0.025498,             0.48117,                 0.7,              0.6056,             0.37508,            0.049575,            0.011438,            0.014892,            0.020959,           0.0079593,           0.0079593
                  44,            0.076448,             0.01526,            0.029524,             0.48117,                 0.7,              0.6056,             0.37508,            0.049575,            0.011438,            0.014892,            0.019125,           0.0081246,           0.0081246
                  45,            0.076648,            0.016221,               0.024,             0.23356,             0.74675,             0.26195,             0.13563,            0.049376,            0.011017,            0.014649,            0.017289,           0.0082892,           0.0082892
                  46,            0.067132,            0.023879,            0.025021,             0.23356,             0.74675,             0.26195,             0.13563,            0.049376,            0.011017,            0.014649,            0.015453,            0.008453,            0.008453
                  47,            0.063025,            0.018262,            0.024193,             0.44175,                 0.8,             0.73807,             0.22585,            0.046984,             0.01024,            0.013729,            0.013616,           0.0086159,           0.0086159
                  48,             0.06443,            0.017451,            0.022937,             0.44175,                 0.8,             0.73807,             0.22585,            0.046984,             0.01024,            0.013729,            0.011778,           0.0087781,           0.0087781
                  49,            0.064687,            0.020772,            0.026224,             0.47377,                0.75,             0.60092,             0.26804,            0.048232,           0.0099314,            0.013122,           0.0099395,           0.0089395,           0.0089395
                  50,            0.069468,             0.01525,            0.019628,             0.47377,                0.75,             0.60092,             0.26804,            0.048232,           0.0099314,            0.013122,             0.00901,             0.00901,             0.00901
                  51,             0.06822,            0.021587,            0.022992,             0.31395,                0.95,             0.44151,              0.1539,             0.04721,           0.0096605,             0.01166,             0.00901,             0.00901,             0.00901
                  52,            0.070996,            0.016035,            0.018967,             0.31395,                0.95,             0.44151,              0.1539,             0.04721,           0.0096605,             0.01166,           0.0089902,           0.0089902,           0.0089902
                  53,            0.072617,            0.018052,            0.022811,             0.37444,                0.85,             0.44128,             0.18991,            0.037288,           0.0099472,             0.01047,           0.0089704,           0.0089704,           0.0089704
                  54,            0.054255,            0.018832,            0.020804,             0.37444,                0.85,             0.44128,             0.18991,            0.037288,           0.0099472,             0.01047,           0.0089506,           0.0089506,           0.0089506
                  55,            0.052302,            0.016082,             0.02358,             0.50207,             0.70855,             0.74266,              0.3656,            0.045982,           0.0092545,           0.0096089,           0.0089308,           0.0089308,           0.0089308
                  56,            0.052624,            0.015956,            0.022103,             0.50207,             0.70855,             0.74266,              0.3656,            0.045982,           0.0092545,           0.0096089,            0.008911,            0.008911,            0.008911
                  57,            0.054597,            0.015484,            0.022665,             0.48012,                 0.9,             0.58217,             0.40037,            0.048128,           0.0098355,           0.0099716,           0.0088912,           0.0088912,           0.0088912
                  58,            0.060128,            0.019882,            0.022053,             0.48012,                 0.9,             0.58217,             0.40037,            0.048128,           0.0098355,           0.0099716,           0.0088714,           0.0088714,           0.0088714
                  59,            0.059574,               0.017,            0.020544,             0.83297,             0.77513,             0.97441,             0.37461,            0.048285,            0.010118,            0.011894,           0.0088516,           0.0088516,           0.0088516
                  60,            0.062725,             0.01731,            0.021296,             0.83297,             0.77513,             0.97441,             0.37461,            0.048285,            0.010118,            0.011894,           0.0088318,           0.0088318,           0.0088318
                  61,            0.063437,            0.017244,            0.023442,             0.53913,                0.95,              0.9117,             0.57636,             0.03663,            0.010685,            0.015925,            0.008812,            0.008812,            0.008812
                  62,            0.053559,             0.01572,            0.019265,             0.53913,                0.95,              0.9117,             0.57636,             0.03663,            0.010685,            0.015925,           0.0087922,           0.0087922,           0.0087922
                  63,            0.053862,            0.016083,            0.017165,             0.27244,                0.85,             0.41269,             0.26424,            0.044842,            0.011553,            0.016162,           0.0087724,           0.0087724,           0.0087724
                  64,            0.054119,            0.015705,            0.017684,             0.27244,                0.85,             0.41269,             0.26424,            0.044842,            0.011553,            0.016162,           0.0087526,           0.0087526,           0.0087526
                  65,            0.056257,            0.017531,            0.019404,             0.62153,             0.82317,             0.65778,             0.42014,            0.042263,            0.010706,            0.011152,           0.0087328,           0.0087328,           0.0087328
